bus_id,route_id
10836,21
10837,21
10838,21
10839,21
10840,21
10841,21
10842,21
10843,21
10844,21
10845,21
10846,21
10847,21
10848,21
10849,21
10850,21
10851,21
10852,21
10853,21
10854,21
10855,21
10856,21
10857,21
10858,21
10859,21
10860,21
10861,21
10862,21
10863,21
10864,21
10865,21
10866,21
10867,21
10868,21
10869,21
10870,21
10871,21
10872,21
10873,21
10874,21
10875,21
10876,21
10877,21
10878,21
10879,21
10880,21
10881,21
10882,21
10883,21
10884,21
10885,21
10886,21
10887,21
10888,21
10889,21
10890,21
10891,21
10892,21
10893,21
10894,21
10895,21
10896,21
10897,21
10898,21
10899,21
109,0
10900,21
10901,21
10902,21
10903,21
10904,21
10905,21
10906,21
10907,21
10908,21
10909,21
10910,21
10911,21
10912,21
10913,21
10914,21
10915,21
10916,21
10917,21
10918,21
10919,21
10920,21
10921,21
10922,21
10923,21
10924,21
10925,21
10926,21
10927,21
10928,21
10929,21
10930,21
10931,21
10932,21
10933,21
10934,21
10935,21
10936,21
10937,21
10938,21
10939,21
10940,21
10941,21
10942,21
10943,21
10944,21
10945,21
10946,21
10947,21
10948,21
10949,21
10950,21
10951,21
10952,21
10953,21
10954,21
10955,21
10956,21
10957,21
10958,21
10959,21
10960,21
10961,21
10962,21
10963,21
10964,21
10965,21
10966,21
10967,21
10968,21
10969,21
11441,22
11442,22
11443,22
11444,22
11445,22
11446,22
11447,22
11448,22
11449,22
11450,22
11451,22
11452,22
11453,22
11454,22
11455,22
11456,22
11457,22
11458,22
11459,22
11460,22
11461,22
11462,22
11463,22
11464,22
11465,22
11466,22
11467,22
11468,22
11469,22
11470,22
11471,22
11472,22
11473,22
11474,22
11475,22
11476,22
11477,22
11478,22
11479,22
11480,22
11481,22
11482,22
11483,22
11484,22
11485,22
11486,22
11487,22
11488,22
11489,22
11490,22
11491,22
11492,22
11493,22
11494,22
11495,22
11496,22
11497,22
11498,22
11499,22
11500,22
11501,22
11502,22
11503,22
11504,22
11505,22
11506,22
11507,22
11508,22
11509,22
11510,22
11511,22
11512,22
11513,22
11514,22
11515,22
11516,22
11517,22
11518,22
11519,22
11520,22
11521,22
11522,22
11523,22
11524,22
11525,22
11526,22
11527,22
11528,22
11529,22
11530,22
11531,22
11532,22
11533,22
11534,22
11535,22
11536,22
11537,22
11538,22
11539,22
11540,22
11541,22
11542,22
11543,22
11544,22
11545,22
11546,22
11547,22
11548,22
11549,22
11550,22
11551,22
11552,22
11553,22
11554,22
11555,22
11556,22
11557,22
11558,22
11559,22
11560,22
11561,22
11562,22
11563,22
11564,22
11565,22
11566,22
11567,22
11568,22
11569,22
11570,22
11571,22
11572,22
11573,22
11574,22
11575,22
11576,22
11577,22
11578,22
11579,22
11580,22
11581,22
11582,22
11583,22
11584,22
11585,22
11586,22
11587,22
11588,22
11589,22
11590,22
11591,22
11592,22
11593,22
11594,22
11595,22
11596,22
11597,22
11598,22
11599,22
11600,22
11601,22
11602,22
11603,22
11604,22
11605,22
11606,22
11607,22
11608,22
11609,22
11610,22
11611,22
11612,22
11613,22
11614,22
11615,22
11616,22
11617,22
11618,22
11619,22
11620,22
11621,22
11622,22
11623,22
11624,22
11625,22
11626,22
11627,22
11628,22
11629,22
11630,22
11631,22
11632,22
11633,22
11634,22
11635,22
11636,22
11637,22
11638,22
11639,22
11640,22
11641,22
11642,22
11643,22
11644,22
11645,22
11646,22
11647,22
11648,22
11649,22
11650,22
11651,22
11652,22
11653,22
11654,22
11655,22
11656,22
11657,22
11658,22
11659,22
11660,22
11661,22
11662,22
11663,22
11664,22
11665,22
11666,22
11667,22
11668,22
